Variant,Fill_Level,Set_MOPS,Get_MOPS,Total_BW_GBs,MLC_Baseline_GBs
dramblast,10,1824.191,5924.708,338.51,460.8
dramblast,20,1811.925,5594.189,338.51,460.8
dramblast,30,1845.101,5617.168,338.51,460.8
dramblast,40,1825.44,5348.161,338.51,460.8
dramblast,50,1793.317,5322.023,338.51,460.8
dramblast,60,1741.216,5156.153,338.51,460.8
dramblast,70,1673.361,4851.725,338.51,460.8
dramblast,80,1524.125,4359.186,338.51,460.8
dramblast,90,1317.725,3650.443,338.51,460.8
dramhit23,10,1902.647,2931.268,212.62,460.8
dramhit23,20,1898.575,2889.36,212.62,460.8
dramhit23,30,1865.208,2800.238,212.62,460.8
dramhit23,40,1812.498,2666.63,212.62,460.8
dramhit23,50,1737.927,2520.144,212.62,460.8
dramhit23,60,1645.833,2326.412,212.62,460.8
dramhit23,70,1528.835,2137.087,212.62,460.8
dramhit23,80,1377.343,1890.857,212.62,460.8
dramhit23,90,1108.294,1567.757,212.62,460.8
folklore,10,1128.122,1947.707,183.05,460.8
folklore,20,1115.828,1893.46,183.05,460.8
folklore,30,1099.923,1830.038,183.05,460.8
folklore,40,1072.992,1738.932,183.05,460.8
folklore,50,1025.401,1596.378,183.05,460.8
folklore,60,943.506,1388.786,183.05,460.8
folklore,70,833.342,1148.358,183.05,460.8
folklore,80,715.477,925.417,183.05,460.8
folklore,90,588.962,729.176,183.05,460.8
