Variant,Fill_Level,Set_MOPS,Get_MOPS,Total_BW,MLC_Baseline_GBs
dramblast,10,716.596,1302.474,82.39,84.83
dramblast,20,716.058,1300.873,82.39,84.83
dramblast,30,714.292,1295.783,82.39,84.83
dramblast,40,710.421,1279.549,82.39,84.83
dramblast,50,703.194,1254.716,82.39,84.83
dramblast,60,690.547,1214.792,82.39,84.83
dramblast,70,670.498,1156.341,82.39,84.83
dramblast,80,637.75,1065.148,82.39,84.83
dramblast,90,579.995,922.46,82.39,84.83
dramhit23,10,714.3,1255.445,73.42,84.83
dramhit23,20,708.408,1175.945,73.42,84.83
dramhit23,30,700.329,1101.893,73.42,84.83
dramhit23,40,688.309,1019.645,73.42,84.83
dramhit23,50,670.257,936.501,73.42,84.83
dramhit23,60,643.697,852.225,73.42,84.83
dramhit23,70,607.061,774.915,73.42,84.83
dramhit23,80,553.922,688.806,73.42,84.83
dramhit23,90,450.047,547.33,73.42,84.83
folklore,10,511.973,736.77,50.68,84.83
folklore,20,502.61,706.587,50.68,84.83
folklore,30,490.524,671.83,50.68,84.83
folklore,40,472.804,627.461,50.68,84.83
folklore,50,445.337,570.13,50.68,84.83
folklore,60,408.608,503.284,50.68,84.83
folklore,70,365.275,433.871,50.68,84.83
folklore,80,314.109,361.372,50.68,84.83
folklore,90,240.205,270.926,50.68,84.83
